Version,Kernel,GlobalWS,LocalWS,TotalTime,AvgTime,Instances,Active%,Stalled%,Idle%,Occupancy%,ALU0%,ALU1%,XMX%,ALU0_XMX%,MultiPipe%,ALU0_Instr,ALU1_Instr,XMX_Instr,Barrier_Instr,Stall_Barrier%,Stall_SBID%,Stall_DistAcc%,Stall_Send%,Stall_IFetch%,L3_MissRatio%,L3_Read_GBs,L3_Write_GBs,DRAM_Read_GBs,DRAM_Write_GBs,TLB_Misses
01_baseline,benchmark_reversed,128 x 512,1 x 16,12.503654,0.125037,100,50.1,48.3,1.5,98.3,14.4,17.7,25.6,3.5,9.6,969776976617,1186731719404,1716661789178,3355400620,38.4,62.1,11.5,0.1,6.5,5.6,284.931026,3.412717,6.861863,3.182095,8741181
02_xprefetch,benchmark_v2,128 x 1024,1 x 32,13.043924,0.130439,100,56.9,41.8,1.3,98.6,17.7,18.5,24.5,0.5,6.8,1237611188861,1292987211195,1716736311654,3381881004,5.1,22.0,4.1,4.4,4.4,1.2,897.955443,3.414657,4.387500,3.193736,9015027
03_deferred,benchmark_v2,128 x 1024,1 x 32,12.607364,0.126074,100,57.3,41.5,1.2,98.8,18.2,19.1,25.3,0.9,7.9,1234744803451,1295123900688,1717278110599,3382890944,4.4,24.6,4.8,2.7,3.2,1.5,972.223603,3.523408,4.555414,3.282898,10129525
04_70tflops,benchmark_v2,128 x 1024,1 x 32,12.605280,0.126053,100,57.3,41.5,1.2,98.8,18.2,19.1,25.4,0.9,7.9,1234492712897,1294853192076,1716859569749,3382076804,4.4,24.6,4.8,2.7,3.2,1.5,972.184191,3.533486,4.540947,3.285379,9961847
05_nbarrier,benchmark_v2,128 x 1024,1 x 32,12.238555,0.122386,100,58.7,39.8,1.4,98.6,18.8,19.6,26.1,0.6,8.2,1234422137663,1291432936741,1716986608575,3382272195,4.2,21.4,4.2,1.8,3.2,1.2,984.908734,3.589702,4.655074,3.378601,9445381
06_72tflops,benchmark_v2,128 x 1024,1 x 32,12.306120,0.123061,100,58.5,40.0,1.5,98.3,18.7,19.6,26.0,0.6,8.2,1236910429739,1293739909942,1717233374566,3382956111,4.2,21.6,4.2,1.8,3.2,1.3,980.180050,3.959618,4.695914,3.426307,9706092
07_72tflops,benchmark_v2,128 x 1024,1 x 32,12.171381,0.121714,100,59.0,39.6,1.4,98.6,18.9,19.7,26.3,0.6,8.2,1234264170097,1291253446665,1716861162728,3381911860,4.4,21.4,4.2,2.2,3.1,1.1,986.264186,3.549637,4.622256,3.342276,8969998
08_82tflops,benchmark_v2,128 x 1024,1 x 32,10.618603,0.106186,100,51.1,47.5,1.4,98.6,7.5,15.2,30.1,0.7,4.8,429396319887,868634699233,1716962565280,3381852751,3.9,24.2,4.0,3.0,3.3,1.2,1143.265440,3.923347,5.204167,3.730093,8717469
09_83tflops,benchmark_v2,128 x 1024,1 x 32,10.613016,0.106130,100,51.3,47.4,1.3,98.7,7.5,15.2,30.1,0.7,4.6,429468794051,867107673008,1716935525930,3381720199,3.9,22.9,4.2,3.0,3.4,1.1,1107.748743,3.889300,5.132830,3.697245,8601235
10_83tflops,benchmark_v2,128 x 1024,1 x 32,10.440372,0.104404,100,50.7,48.0,1.3,98.6,8.6,12.1,30.6,0.7,3.5,482961824107,679157355037,1716890837343,3381663872,4.8,21.3,7.6,2.4,2.2,1.1,1156.480159,3.943233,5.222232,3.770761,8654825
11_84tflops,benchmark_v2,128 x 1024,1 x 32,10.560532,0.105605,100,51.5,47.2,1.3,98.7,7.6,14.9,30.3,0.7,4.4,430971239466,845059087733,1716558773367,3381011753,3.7,21.9,4.2,2.5,3.3,1.2,1128.654338,3.914339,5.234599,3.721192,8720502
12_86tflops,benchmark_v2,128 x 1024,1 x 32,10.359553,0.103596,100,52.1,46.5,1.4,98.5,8.2,15.6,30.8,1.5,5.2,454690158310,870326648217,1716887114001,3381601060,3.0,22.1,4.2,1.5,4.5,0.6,1204.537546,3.945754,5.140210,3.783227,7068540
13_88tflops,benchmark_v2,128 x 1024,1 x 32,10.022865,0.100229,100,49.0,49.6,1.5,98.5,8.4,10.7,31.9,1.3,5.1,454578097056,575131597424,1716698550905,3381113477,3.2,25.5,4.3,4.0,3.3,0.6,1249.563099,4.002619,5.212320,3.864843,7131076
